Step, Strands, <Q>, piYX, trouton_1, trouton_2
450, 926, 0.216688, -0.017429, 7.907344, -0.054555
451, 926, 0.215597, -0.023733, 7.713399, -0.045675
452, 924, 0.215764, -0.019348, 7.825027, -0.047281
453, 917, 0.214404, -0.019413, 7.472536, -0.050106
454, 918, 0.214586, -0.016555, 7.428261, -0.049423
455, 925, 0.214961, -0.021622, 7.582331, -0.041371
456, 929, 0.214896, -0.019511, 7.671809, -0.037798
457, 931, 0.214702, -0.009848, 7.681457, -0.037997
458, 937, 0.214468, -0.007590, 7.796395, -0.040474
459, 938, 0.214895, -0.007869, 7.942277, -0.052988
460, 938, 0.216099, -0.008185, 8.107575, -0.048323
461, 936, 0.216598, -0.012047, 8.174851, -0.042757
462, 932, 0.216659, -0.012137, 8.210043, -0.038098
463, 933, 0.217243, -0.014576, 8.294991, -0.035275
464, 930, 0.218530, -0.014091, 8.420648, -0.030727
465, 932, 0.218265, -0.014389, 8.486163, -0.041702
466, 929, 0.218487, -0.009070, 8.475219, -0.044006
467, 928, 0.218559, -0.010274, 8.438080, -0.027505
468, 929, 0.218146, -0.012050, 8.466993, -0.027859
469, 924, 0.217971, -0.012484, 8.304925, -0.020841
470, 929, 0.218579, -0.014327, 8.435569, -0.010478
471, 925, 0.218250, -0.013934, 8.341976, -0.012462
